Order_Date,Ship_Date,Ship_Mode,Segment,City,State,Postal_Code,Region,Category,Sub-Category,Product_Name,Sales,Quantity,Discount,Profit,Profit_Margin,Year_Month,Year,Month,Shipping_Days
2016-11-08,2016-11-11,Second Class,Consumer,Henderson,Kentucky,42420,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,16.000000000000004,2016-11,2016,11,3
2016-11-08,2016-11-11,Second Class,Consumer,Henderson,Kentucky,42420,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,30.0,2016-11,2016,11,3
2016-06-12,2016-06-16,Second Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,47.0,2016-06,2016,6,4
2015-10-11,2015-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,33311,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,-40.0,2015-10,2015,10,7
2015-10-11,2015-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,11.25,2015-10,2015,10,7
2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,90032,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,28.999999999999996,2014-06,2014,6,5
2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,90032,West,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,27.0,2014-06,2014,6,5
2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,90032,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,10.0,2014-06,2014,6,5
2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,90032,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,31.249999999999993,2014-06,2014,6,5
2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,90032,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,30.0,2014-06,2014,6,5
2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,90032,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,5.0,2014-06,2014,6,5
2014-06-09,2014-06-14,Standard Class,Consumer,Los Angeles,California,90032,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,7.500000000000001,2014-06,2014,6,5
2017-04-15,2017-04-20,Standard Class,Consumer,Concord,North Carolina,28027,South,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,35.0,2017-04,2017,4,5
2016-12-05,2016-12-10,Standard Class,Consumer,Seattle,Washington,98103,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,32.49999999999999,2016-12,2016,12,5
2015-11-22,2015-11-26,Standard Class,Home Office,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,-180.0,2015-11,2015,11,4
2015-11-22,2015-11-26,Standard Class,Home Office,Fort Worth,Texas,76106,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,-150.0,2015-11,2015,11,4
2014-11-11,2014-11-18,Standard Class,Consumer,Madison,Wisconsin,53711,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,2.0,2014-11,2014,11,7
2014-05-13,2014-05-15,Second Class,Consumer,West Jordan,Utah,84084,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,18.0,2014-05,2014,5,2
2014-08-27,2014-09-01,Second Class,Consumer,San Francisco,California,94109,West,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,28.999999999999996,2014-08,2014,8,5
2014-08-27,2014-09-01,Second Class,Consumer,San Francisco,California,94109,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,7.5,2014-08,2014,8,5
2014-08-27,2014-09-01,Second Class,Consumer,San Francisco,California,94109,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,32.5,2014-08,2014,8,5
2016-12-09,2016-12-13,Standard Class,Corporate,Fremont,Nebraska,68025,Central,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,25.999999999999996,2016-12,2016,12,4
2016-12-09,2016-12-13,Standard Class,Corporate,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,25.999999999999996,2016-12,2016,12,4
2017-07-16,2017-07-18,Second Class,Consumer,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,-1.4285714285714286,2017-07,2017,7,2
2015-09-25,2015-09-30,Standard Class,Consumer,Orem,Utah,84057,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,23.0,2015-09,2015,9,5
2016-01-16,2016-01-20,Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,36.25000000000001,2016-01,2016,1,4
2016-01-16,2016-01-20,Second Class,Consumer,Los Angeles,California,90049,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,13.0,2016-01,2016,1,4
2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,-54.0,2015-09,2015,9,4
2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,-73.33333333333334,2015-09,2015,9,4
2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,12.5,2015-09,2015,9,4
2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,33.75,2015-09,2015,9,4
2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,11.249999999999998,2015-09,2015,9,4
2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,-83.33333333333334,2015-09,2015,9,4
2015-09-17,2015-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,22.499999999999996,2015-09,2015,9,4
2017-10-19,2017-10-23,Second Class,Home Office,Houston,Texas,77095,Central,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,33.75,2017-10,2017,10,4
2016-12-08,2016-12-10,First Class,Corporate,Richardson,Texas,75080,Central,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,11.249999999999998,2016-12,2016,12,2
2016-12-08,2016-12-10,First Class,Corporate,Richardson,Texas,75080,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,-77.5,2016-12,2016,12,2
2015-12-27,2015-12-31,Standard Class,Home Office,Houston,Texas,77041,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,31.25,2015-12,2015,12,4
2015-12-27,2015-12-31,Standard Class,Home Office,Houston,Texas,77041,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,-8.823529411764707,2015-12,2015,12,4
2015-12-27,2015-12-31,Standard Class,Home Office,Houston,Texas,77041,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,-7.142857142857144,2015-12,2015,12,4
2015-12-27,2015-12-31,Standard Class,Home Office,Houston,Texas,77041,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,11.25,2015-12,2015,12,4
2017-09-10,2017-09-15,Standard Class,Corporate,Naperville,Illinois,60540,Central,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,11.249999999999998,2017-09,2017,9,5
2016-07-17,2016-07-22,Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,5.0,2016-07,2016,7,5
2017-09-19,2017-09-23,Standard Class,Corporate,Melbourne,Florida,32935,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,10.0,2017-09,2017,9,4
2016-03-11,2016-03-13,First Class,Corporate,Eagan,Minnesota,55122,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,43.00000000000001,2016-03,2016,3,2
2016-03-11,2016-03-13,First Class,Corporate,Eagan,Minnesota,55122,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,47.0,2016-03,2016,3,2
2014-10-20,2014-10-25,Second Class,Consumer,Westland,Michigan,48185,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,4.0,2014-10,2014,10,5
2016-06-20,2016-06-25,Standard Class,Consumer,Dover,Delaware,19901,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,11.0,2016-06,2016,6,5
2016-06-20,2016-06-25,Standard Class,Consumer,Dover,Delaware,19901,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,27.999999999999996,2016-06,2016,6,5
2015-04-18,2015-04-22,Standard Class,Consumer,New Albany,Indiana,47150,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,47.0,2015-04,2015,4,4
2015-04-18,2015-04-22,Standard Class,Consumer,New Albany,Indiana,47150,Central,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,47.0,2015-04,2015,4,4
2015-04-18,2015-04-22,Standard Class,Consumer,New Albany,Indiana,47150,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,48.0,2015-04,2015,4,4
2015-04-18,2015-04-22,Standard Class,Consumer,New Albany,Indiana,47150,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,19.0,2015-04,2015,4,4
2016-12-11,2016-12-17,Standard Class,Corporate,New York City,New York,10024,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,41.0,2016-12,2016,12,6
2016-12-11,2016-12-17,Standard Class,Corporate,New York City,New York,10024,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,28.999999999999996,2016-12,2016,12,6
2016-06-17,2016-06-18,First Class,Consumer,Troy,New York,12180,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,25.0,2016-06,2016,6,1
2016-06-17,2016-06-18,First Class,Consumer,Troy,New York,12180,East,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552,48.0,2016-06,2016,6,1
2016-06-17,2016-06-18,First Class,Consumer,Troy,New York,12180,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,2.222222222222222,2016-06,2016,6,1
2016-06-17,2016-06-18,First Class,Consumer,Troy,New York,12180,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,48.0,2016-06,2016,6,1
2016-06-17,2016-06-18,First Class,Consumer,Troy,New York,12180,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,11.0,2016-06,2016,6,1
2016-06-17,2016-06-18,First Class,Consumer,Troy,New York,12180,East,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,33.75,2016-06,2016,6,1
2016-06-17,2016-06-18,First Class,Consumer,Troy,New York,12180,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,50.0,2016-06,2016,6,1
2015-11-24,2015-11-30,Standard Class,Consumer,Los Angeles,California,90004,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,44.0,2015-11,2015,11,6
2015-11-24,2015-11-30,Standard Class,Consumer,Los Angeles,California,90004,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,36.25,2015-11,2015,11,6
2015-11-24,2015-11-30,Standard Class,Consumer,Los Angeles,California,90004,West,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,47.0,2015-11,2015,11,6
2015-11-24,2015-11-30,Standard Class,Consumer,Los Angeles,California,90004,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,27.999999999999996,2015-11,2015,11,6
2015-04-30,2015-05-05,Standard Class,Home Office,Chicago,Illinois,60610,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,-7.142857142857142,2015-04,2015,4,5
2014-12-05,2014-12-10,Standard Class,Corporate,Gilbert,Arizona,85234,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,10.000000000000002,2014-12,2014,12,5
2014-12-05,2014-12-10,Standard Class,Corporate,Gilbert,Arizona,85234,West,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,37.5,2014-12,2014,12,5
2016-06-04,2016-06-06,First Class,Consumer,Springfield,Virginia,22153,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,47.00000000000001,2016-06,2016,6,2
2016-09-18,2016-09-23,Standard Class,Consumer,New York City,New York,10009,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,37.50000000000001,2016-09,2016,9,5
2017-09-14,2017-09-17,Second Class,Consumer,Jackson,Michigan,49201,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,46.0,2017-09,2017,9,3
2015-04-26,2015-05-02,Standard Class,Consumer,Memphis,Tennessee,38109,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,-13.749999999999998,2015-04,2015,4,6
2015-04-26,2015-05-02,Standard Class,Consumer,Memphis,Tennessee,38109,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,1.25,2015-04,2015,4,6
2015-04-26,2015-05-02,Standard Class,Consumer,Memphis,Tennessee,38109,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,-25.0,2015-04,2015,4,6
2017-12-09,2017-12-11,First Class,Corporate,Houston,Texas,77041,Central,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,-154.99999999999997,2017-12,2017,12,2
2017-12-09,2017-12-11,First Class,Corporate,Houston,Texas,77041,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,-60.0,2017-12,2017,12,2
2017-12-09,2017-12-11,First Class,Corporate,Houston,Texas,77041,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,10.000000000000002,2017-12,2017,12,2
2014-11-26,2014-12-01,Second Class,Consumer,Houston,Texas,77070,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,-75.0,2014-11,2014,11,5
2016-06-12,2016-06-15,First Class,Corporate,Decatur,Alabama,35601,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,27.0,2016-06,2016,6,3
2016-06-12,2016-06-15,First Class,Corporate,Decatur,Alabama,35601,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352,48.00000000000001,2016-06,2016,6,3
2014-10-12,2014-10-16,Standard Class,Consumer,San Francisco,California,94122,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172,27.999999999999996,2014-10,2014,10,4
2014-10-12,2014-10-16,Standard Class,Consumer,San Francisco,California,94122,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031,28.999999999999996,2014-10,2014,10,4
2015-09-03,2015-09-08,Standard Class,Corporate,Durham,North Carolina,27707,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,31.25,2015-09,2015,9,5
2017-11-13,2017-11-16,First Class,Home Office,Chicago,Illinois,60623,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,-21.25,2017-11,2017,11,3
2017-05-28,2017-05-30,Second Class,Consumer,Columbia,South Carolina,29203,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,11.000000000000002,2017-05,2017,5,2
2017-10-26,2017-11-02,Standard Class,Consumer,Rochester,Minnesota,55901,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,34.0,2017-10,2017,10,7
